Winner,Pts,Loser,Pts
,,,
Jacksonville State,17,Texas-El Paso,14
Louisiana Tech,22,Florida International,17
Massachusetts,41,New Mexico State,30
(13) Notre Dame,42,Navy,3
San Diego State,3,Ohio,0
(6) Southern California,56,San Jose State,28
Vanderbilt,35,Hawaii,28
Alabama-Birmingham,35,North Carolina A&T,6
Arizona State,24,Southern Utah,21
Central Florida,56,Kent State,6
Georgia State,42,Rhode Island,35
Minnesota,13,Nebraska,10
Missouri,35,South Dakota,10
North Carolina State,24,Connecticut,14
Tulsa,42,Arkansas-Pine Bluff,7
(14) Utah,24,Florida,11
Wake Forest,37,Elon,17
Western Michigan,35,St. Francis (PA),17
Eastern Michigan,33,Howard,23
Kansas,48,Missouri State,17
Louisville,39,Georgia Tech,34
Miami (FL),38,Miami (OH),3
Michigan State,31,Central Michigan,7
Stanford,37,Hawaii,24
Air Force,42,Robert Morris,7
(4) Alabama,56,Middle Tennessee State,7
Appalachian State,45,Gardner-Webb,24
Arizona,38,Northern Arizona,3
Arkansas,56,Western Carolina,13
Auburn,59,Massachusetts,14
Brigham Young,14,Sam Houston,0
California,58,North Texas,21
Charlotte,24,South Carolina State,3
Cincinnati,66,Eastern Kentucky,13
Colorado,45,(17) Texas Christian,42
Florida Atlantic,42,Monmouth,20
Florida International,14,Maine,12
Fresno State,39,Purdue,35
(1) Georgia,48,Tennessee-Martin,7
Georgia Southern,34,Citadel,0
Houston,17,Texas-San Antonio,14
Illinois,30,Toledo,28
(25) Iowa,24,Utah State,14
Iowa State,30,Northern Iowa,9
Jacksonville State,49,East Tennessee State,3
James Madison,38,Bucknell,3
(16) Kansas State,45,Southeast Missouri State,0
Kentucky,44,Ball State,14
Liberty,34,Bowling Green,24
Louisiana,38,Northwestern State,13
Louisiana-Monroe,17,Army,13
Marshall,21,Albany,17
Maryland,38,Towson,6
Memphis,56,Bethune-Cookman,14
(2) Michigan,30,East Carolina,3
(22) Mississippi,73,Mercer,7
Mississippi State,48,Southeastern Louisiana,7
Nevada-Las Vegas,44,Bryant,14
New Mexico State,58,Western Illinois,21
(21) North Carolina,31,South Carolina,17
Northern Illinois,27,Boston College,24
(13) Notre Dame,56,Tennessee State,3
Ohio,27,Long Island,10
(3) Ohio State,23,Indiana,3
(20) Oklahoma,73,Arkansas State,0
Oklahoma State,27,Central Arkansas,13
(15) Oregon,81,Portland State,7
(7) Penn State,38,West Virginia,15
Pittsburgh,45,Wofford,7
San Diego State,36,Idaho State,28
(6) Southern California,66,Nevada,14
Southern Methodist,38,Louisiana Tech,14
Southern Mississippi,40,Alcorn State,14
Syracuse,65,Colgate,0
Temple,24,Akron,21
(12) Tennessee,49,Virginia,13
(11) Texas,37,Rice,10
(23) Texas A&M,52,New Mexico,10
Texas State,42,Baylor,31
Texas-El Paso,28,Incarnate Word,14
Troy,48,Stephen F. Austin,30
(24) Tulane,37,South Alabama,17
UCLA,27,Coastal Carolina,13
Vanderbilt,47,Alabama A&M,13
Virginia Tech,36,Old Dominion,17
(10) Washington,56,Boise State,19
Washington State,50,Colorado State,24
Western Kentucky,41,South Florida,24
(19) Wisconsin,38,Buffalo,17
Wyoming,35,Texas Tech,33
(8) Florida State,45,(5) Louisiana State,24
(18) Oregon State,42,San Jose State,17
Rutgers,24,Northwestern,7
Duke,28,(9) Clemson,7
Louisville,56,Murray State,0
Indiana,41,Indiana State,7
Kansas,34,Illinois,23
Air Force,13,Sam Houston,3
Akron,24,Morgan State,21
Arkansas,28,Kent State,6
Army,57,Delaware State,0
Auburn,14,California,10
Boston College,31,Holy Cross,28
Bowling Green,38,Eastern Illinois,15
Brigham Young,41,Southern Utah,16
Central Florida,18,Boise State,16
Central Michigan,45,New Hampshire,42
Cincinnati,27,Pittsburgh,21
(25) Clemson,66,Charleston Southern,17
Coastal Carolina,30,Jacksonville State,16
(22) Colorado,36,Nebraska,14
(21) Duke,42,Lafayette,7
Florida,49,McNeese State,7
Florida International,46,North Texas,39
(4) Florida State,66,Southern Mississippi,13
Fordham,40,Buffalo,37
Fresno State,34,Eastern Washington,31
(1) Georgia,45,Ball State,3
Georgia Southern,49,Alabama-Birmingham,35
Georgia State,35,Connecticut,14
Georgia Tech,48,South Carolina State,13
Idaho,33,Nevada,6
Iowa,20,Iowa State,13
James Madison,36,Virginia,35
(15) Kansas State,42,Troy,13
Kentucky,28,Eastern Kentucky,17
Liberty,33,New Mexico State,17
(14) Louisiana State,72,Grambling State,10
Louisiana Tech,51,Northwestern State,21
Louisiana-Monroe,24,Lamar,14
Marshall,31,East Carolina,13
Maryland,38,Charlotte,20
Memphis,37,Arkansas State,3
Miami (FL),48,(23) Texas A&M,33
Miami (OH),41,Massachusetts,28
(2) Michigan,35,Nevada-Las Vegas,7
Michigan State,45,Richmond,14
Minnesota,25,Eastern Michigan,6
(20) Mississippi,37,(24) Tulane,20
Mississippi State,31,Arizona,24
Missouri,23,Middle Tennessee State,19
Navy,24,Wagner,0
New Mexico,56,Tennessee Tech,10
(17) North Carolina,40,Appalachian State,34
Northwestern,38,Texas-El Paso,7
(10) Notre Dame,45,North Carolina State,24
Ohio,17,Florida Atlantic,10
(5) Ohio State,35,Youngstown State,7
(18) Oklahoma,28,Southern Methodist,11
Oklahoma State,27,Arizona State,15
Old Dominion,38,Louisiana,31
(13) Oregon,38,Texas Tech,30
(16) Oregon State,55,California-Davis,7
(7) Penn State,63,Delaware,7
Purdue,24,Virginia Tech,17
Rice,43,Houston,41
Rutgers,36,Temple,7
San Jose State,59,Cal Poly,3
South Alabama,35,Southeastern Louisiana,17
South Carolina,47,Furman,21
South Florida,38,Florida A&M,24
(6) Southern California,56,Stanford,10
Southern Illinois,14,Northern Illinois,11
Syracuse,48,Western Michigan,7
(9) Tennessee,30,Austin Peay,13
(11) Texas,34,(3) Alabama,24
Texas Christian,41,Nicholls State,6
Texas-San Antonio,20,Texas State,13
Toledo,71,Texas Southern,3
UCLA,35,San Diego State,10
(12) Utah,20,Baylor,13
Utah State,78,Idaho State,28
Wake Forest,36,Vanderbilt,20
(8) Washington,43,Tulsa,10
Washington State,31,(19) Wisconsin,22
West Virginia,56,Duquesne,17
Western Kentucky,52,Houston Baptist,22
Wyoming,31,Portland State,17
Hawaii,31,Albany,20
Memphis,28,Navy,24
(22) Miami (FL),48,Bethune-Cookman,7
Air Force,39,Utah State,21
Army,37,Texas-San Antonio,29
Maryland,42,Virginia,14
(10) Alabama,17,South Florida,3
Appalachian State,43,East Carolina,28
